Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Claude with Amazon Bedrock by Anthropic,"<p>Building production AI applications with Claude requires more than API access—you need systems that handle retrieval, tool use, caching, and scale. Amazon Bedrock provides the managed infrastructure to build these systems in the AWS ecosystem. This course teaches you to implement Claude's API, create production-ready applications, and apply advanced capabilities including tool use, retrieval-augmented generation (RAG), and autonomous agents.</p><p>Get started with core API implementation patterns, then learn how to build RAG systems and conversational AI pipelines. Along the way, find out how to develop autonomous agents for tasks like code generation and debugging, and learn performance optimization techniques including caching and scalable architecture design.</p><p>Note: This course requires basic Python programming proficiency and a basic understanding of AWS services and Amazon Bedrock.</p><p>This course was created by Anthropic. We are pleased to host this training in our library.</p>",Course,2026-05-17 13:47 UTC,N/A,false,N/A,
Logic Pro Essential Training,"In this course, expert producer and engineer Scott Hirsch covers all the essentials of Logic, the flagship audio application from Apple. Scott starts with the setup and workflow, then shows how to record audio, work with Session Players, and use MIDI and virtual instruments. He discusses how to use samples and loops, and shows how to conform their time and pitch to better fit a song. Next, Scott covers editing and arranging techniques for both audio and MIDI data. Moving deeper into the program, Scott explains how to work with music notation and video files, then wraps up the course with extensive information on mixing, working in surround, and finishing up a project.",Course,2026-04-02 13:37 UTC,N/A,false,N/A,
Nine Habits of Highly Confident People,"Few things are more important for success and happiness than feeling confident about who you are and what you do. For some people, this comes quite naturally. But for many of us, it takes a lot of work. Specifically, it requires a shift in mindset as well as a tremendous amount of ongoing effort and self-discipline to maintain. And even then, your confidence still comes and goes, taking a hit in the face of setbacks. In this course, learn the secret to building truly lasting confidence: making it an everyday habit. Instructor Scott Mautz demonstrates a wide variety of personal and professional habits that highly confident people intentionally—and even unintentionally—practice, sharing insights from the science of habit-building to ensure your newly formed routines actually stick.",Course,2025-11-22 21:10 UTC,N/A,false,N/A,
React Essential Training,"In this course, software developer and instructor Eve Porcello highlights the latest techniques for building a React app from scratch. Learn how to create elements, write components, and use React hooks. Get familiar with libraries like Next and Vite, and discover the differences between React Server Components and Client Components. Find out how to use the latest tools, techniques, and patterns that will help futureproof applications and make them more scalable and performant. After watching the course, you will be able to start your own project from scratch, and you will also be able to jump into an existing React codebase and make an impact.",Course,2026-05-12 10:00 UTC,N/A,false,N/A,
Node.js Essential Training,"Node.js is a powerful tool for controlling servers, building web applications, and creating event-driven programs. And it takes JavaScript—a language familiar to all web developers—out of the browser. With Node.js, you can build applications that run on your laptop or even the cloud.
In this course, learn the essentials of Node.js and start creating your own JavaScript applications. Instructor Eve Porcello covers all of the basics, showing how to install Node.js and work with the Node.js core, which includes standard input, standard output, the module system, the file system, and how to write and run JavaScript on the server. Upon wrapping up this course, you’ll be equipped with fundamental Node.js concepts and techniques that you can put to use in your next project.",Course,2026-04-28 09:11 UTC,N/A,false,N/A,
"HTML, CSS, and Generative AI: Speed Up Your Process","Long gone are the days of learning code from books. Even electronic and online resources are becoming less popular. Now, artificial intelligence is a go-to tool for writing basic code, and while it has many advantages, it’s not without its own challenges. For one, while AI can help with the basics of coding, it still needs a knowledgeable user. In this course, Joe Casbona shows you how AI tools can help speed up your entire process. With the rapid development of generative AI tools, it’s important for web developers to understand how these tools work, and how they can be leveraged for prototyping, layout creation, testing, and more.",Course,N/A,N/A,true,N/A,
Advanced SQL for Application Development,"Many applications require a relational database. But poorly designed data architecture and poorly written SQL can result in subpar performance, unreliable services, and difficulty scaling. This course includes hands-on examples and lessons that show how to build scalable and resilient databases to support any application. Learn how to write optimized SQL for transaction processing, use indexes to reduce read latency, partition data to improve scalability, and use established design patterns. Instructor Dan Sullivan also explores object relational mapping and shows how to respond to database errors such as query timeouts and refused connections. After completing this course, you will be able to design robust database applications that can scale to meet increasingly demanding workloads.",Course,N/A,N/A,true,N/A,
Programming Foundations: Object-Oriented Design,"All good software starts with a great design. Object-oriented design helps developers plan applications before they write a single line of code, and break down ideas into reusable and maintainable components. This course focuses on the foundational concepts, teaching them in a fun, interactive way to help you quickly develop your skills. Tag team Olivia and Barron Stone introduce you to the concepts and terms—objects, classes, abstraction, inheritance, and more—that you need to get started. They then show how to take the requirements for an app, identify use cases, and map out classes using Universal Modeling Language (UML). The final design can then be translated into code using one of the many popular object-oriented programming languages, such as Java, C#, Ruby, or Python.",Course,2025-11-22 21:09 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5907566,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5907566,Course,2024-06-28 23:42 UTC,N/A,false,N/A,
What to Post on LinkedIn to Stand Out,"In this course, senior program manager Sarah Ohlson shows you how to craft a LinkedIn presence that elevates your professional standing and engages your network. Learn about the four key posting strategies that successful LinkedIn creators consistently use. Discover how to align your content with your career objectives, using practical templates and real-life examples that guide your learning journey. Gain insights into defining your audience, optimizing your posting schedule, and creating posts that drive meaningful engagement. Find out how to build your brand and connect with opportunities aligned with your goals. Enhance your professional visibility and impact through strategic content distribution and community engagement. This course empowers you to expand your professional reach, grow your network, and build a consistent brand with actionable insights and strategies.",Course,2025-11-24 10:59 UTC,N/A,false,N/A,
